                                                                          BALANTA ANALITICA
                                                           A MATERIALELOR PENTRU PERIOADA  01/01/2016 - 22/06/2016


                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|   98|   30638| STALP 2 BRATE                           | buc        | NOU     |    12    |    0     |    0     |    12    |      31100000 |               |               |      31100000 |
|   99|   30639| STALP 1 BRAT                            | buc        | NOU     |    2     |    0     |    0     |    2     |       3700000 |               |               |       3700000 |
|  100|   30641| OTEL U80                                | ml         | NOU     |   310    |    0     |    0     |   310    |      30700001 |               |               |      30700001 |
|  101|   30642| JGHEAB                                  | ml         | NOU     |    60    |    0     |    0     |    60    |       6200000 |               |               |       6200000 |
|  102|   30643| USA METALICA                            | buc        | NOU     |    15    |    0     |    0     |    15    |      27700000 |               |               |      27700000 |
|  103|   30644| FEREASTRA METALICA                      | buc        | NOU     |    12    |    0     |    0     |    12    |      14800000 |               |               |      14800000 |
|  104|   30645| CUPOLA MARE PAFS                        | buc        | NOU     |    28    |    0     |    0     |    28    |     104800000 |               |               |     104800000 |
|  105|   30646| CUPOLA MICA PAFS                        | buc        | NOU     |    24    |    0     |    0     |    24    |      83600000 |               |               |      83600000 |
|  106|   30647| CUPOLA PAFS CAPETE                      | buc        | NOU     |    2     |    0     |    0     |    2     |       6200000 |               |               |       6200000 |
|  107|   30648| PLACA CUTATA PAFS                       | buc        | NOU     |    36    |    0     |    0     |    36    |      37400000 |               |               |      37400000 |
|  108|   30649| BCA                                     | mc         | NOU     |  32.500  |    0     |    0     |  32.500  |      25900000 |               |               |      25900000 |
|  109|   30650| GURA CANAL                              | buc        | NOU     |    8     |    0     |    0     |    8     |      16500000 |               |               |      16500000 |
|  110|   30651| GURA SCURGERE                           | buc        | NOU     |    13    |    0     |    0     |    13    |      38900000 |               |               |      38900000 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  22/06/2016                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     3
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|  111|   30652| USI ALUMINIU                            | buc        | NOU     |    4     |    0     |    0     |    4     |      15000000 |               |               |      15000000 |
|  112|   30653| FERESTRE ALUMINIU                       | buc        | NOU     |    16    |    0     |    0     |    16    |      43800000 |               |               |      43800000 |
|  113|   30656| REGISTRU 100 FILE                       | buc        | NOU     |    28    |    0     |    0     |    28    |        729786 |               |               |        729786 |
|  114|   30657| CAIETE 80 FILE                          | buc        | NOU     |    40    |    0     |    0     |    40    |        648073 |               |               |        648073 |
|  115|   30658| BON VALORIC CARBURANT                   | fil        | NOU     |   192    |    0     |    0     |   192    |      48403455 |               |               |      48403455 |
|  116|   30659| VALOARE TIPIZATE CARBURANT              | fil        | NOU     |   192    |    0     |    0     |   192    |         43123 |               |               |         43123 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|                  T O T A L     G E N E R A L                                                                              |    1147448309 |               |               |    1147448309 |
|---------------------------------------------------------------------------------------------------------------------------|---------------|---------------|---------------|---------------|
















































|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  22/06/2016