                                                                          BALANTA ANALITICA
                                                          A MIJLOACELOR FIXE PENTRU PERIOADA  01/12/2012 - 31/12/2012


 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|  111|  640078| PISTOL MITRALIERA 7.62 MM CU PAT N MD63 | bucati     | FOLOS.  |   211    |   211    |   211    |   211    |         52.75 |         52.75 |         52.75 |         52.75 |
|  112|  640079| PISTOL SEMNALIZARE  CALIBRU 26 MM       | bucati     | FOLOS.  |    1     |    1     |    1     |    1     |          0.14 |          0.14 |          0.14 |          0.14 |
|  113|  640080| PISTOL SEMNALIZARE CALIBRU 26 MM        | bucati     | FOLOS.  |    1     |    1     |    1     |    1     |          0.14 |          0.14 |          0.14 |          0.14 |
|  114|  640081| PUSCA MITRALIERA 7.62MM PAT NOR.MD1964  | bucati     | FOLOS.  |    1     |    1     |    1     |    1     |          0.46 |          0.46 |          0.46 |          0.46 |
|  115|  640082| ARUNCATOR DE GRENADE 1                  | bucati     | FOLOS.  |    1     |    1     |    1     |    1     |          1.50 |          1.50 |          1.50 |          1.50 |
|  116|  640083| ARUNCATOR GRENADE 2                     | bucati     | FOLOS.  |    1     |    1     |    1     |    1     |          1.50 |          1.50 |          1.50 |          1.50 |
|  117|  641080| PISTOL SEMNALIZARE CALIBRU  26 MM 1     | bucati     | FOLOS.  |    1     |    1     |    1     |    1     |          0.14 |          0.14 |          0.14 |          0.14 |
|  118|  900001| CALCULATOR PENTIUM 4-1                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2243.47 |          0.00 |          0.00 |       2243.47 |
|  119|  900003| SISTEM CALCUL P4-3                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2285.67 |          0.00 |          0.00 |       2285.67 |
|  120|  900004| PC CEL D 320/240017                     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1749.62 |          0.00 |          0.00 |       1749.62 |
|  121|  900005| SISTEM AMDK7-4                          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1865.46 |          0.00 |          0.00 |       1865.46 |
|  122|  900006| MICROCALCULATOR AT 286 MDKIT            | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |         90.00 |          0.00 |          0.00 |         90.00 |
