                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|   88| SCAUN KG 212                             |   20035|   buc    |  NOU  |      60681.75 |      4.000|        242727 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|   89| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.21 |     43.000|       8554859 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   90| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.17 |      6.000|       1193701 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   91| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.14 |      7.000|       1392651 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   92| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.25 |      4.000|        795801 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|   93| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.25 |      4.000|        795801 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|   94| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.25 |      8.000|       1591602 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   95| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.33 |      3.000|        596851 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|   96| HALATE DOC                               |   20036|   buc    |  NOU  |     198950.00 |      1.000|        198950 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|   97| RAME MOZAIC CU SUPORT                    |   20038|   buc    |  NOU  |      60250.00 |      3.000|        180750 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   98| GALANTARE                                |   20039|    bc    |  NOU  |      28907.50 |      4.000|        115630 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   99| BUTOI 200                                |   20040|   buc    |  NOU  |      22981.00 |      1.000|         22981 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  100| BUTOI 200                                |   20040|   buc    |  NOU  |      22981.00 |      1.000|         22981 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  101| BUTOI 200                                |   20040|   buc    |  NOU  |      22981.00 |      1.000|         22981 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  102| LACATE                                   |   20041|   buc    |  NOU  |       4194.75 |      4.000|         16779 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  103| LACATE                                   |   20041|   buc    |  NOU  |       4194.50 |      2.000|          8389 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  104| LACATE                                   |   20041|   buc    |  NOU  |       4194.67 |      6.000|         25168 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  105| BLATURI MOZAICATE                        |   20042|   bu8    |  NOU  |     446908.57 |     90.000|      40221771 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  106| BLATURI MOZAICATE                        |   20042|   bu8    |  NOU  |     446908.60 |      5.000|       2234543 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  107| MOCHETA                                  |   20043|    mp    |  NOU  |      14718.88 |     16.900|        248749 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  108| MOCHETA                                  |   20043|    mp    |  NOU  |      14718.85 |     20.000|        294377 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
